date,city,temperature_max,temperature_min,temperature_mean,precipitation_sum,rain_sum,wind_speed_max
2023-06-02,Bengaluru,30.2,20.8,25.1,0.0,0.0,18.3
2023-06-03,Bengaluru,31.5,20.9,25.8,0.4,0.4,16.9
2023-06-04,Bengaluru,30.0,21.2,25.1,0.0,0.0,18.4
2023-06-05,Bengaluru,30.8,21.0,25.6,0.1,0.1,16.7
2023-06-06,Bengaluru,31.2,21.2,26.1,0.3,0.3,19.1
2023-06-07,Bengaluru,31.5,21.2,26.1,0.0,0.0,16.5
2023-06-08,Bengaluru,31.6,20.5,26.0,0.0,0.0,17.3
2023-06-09,Bengaluru,31.4,20.2,25.0,5.5,5.5,20.3
2023-06-10,Bengaluru,30.8,20.1,24.6,0.7,0.7,25.9
2023-06-11,Bengaluru,30.8,20.5,24.9,0.2,0.2,23.1
2023-06-12,Bengaluru,30.5,20.3,24.6,13.0,13.0,19.0
2023-06-13,Bengaluru,30.8,20.0,24.5,1.8,1.8,19.1
2023-06-14,Bengaluru,30.6,20.0,24.7,1.1,1.1,21.0
2023-06-15,Bengaluru,31.6,19.9,25.5,0.0,0.0,17.7
2023-06-16,Bengaluru,32.0,20.8,26.0,0.0,0.0,19.5
2023-06-17,Bengaluru,31.4,19.9,25.2,0.2,0.2,17.8
2023-06-18,Bengaluru,30.8,21.1,24.8,1.0,1.0,22.2
2023-06-19,Bengaluru,28.4,20.5,24.1,2.4,2.4,18.1
2023-06-20,Bengaluru,26.2,21.4,22.8,18.5,18.5,14.8
2023-06-21,Bengaluru,29.4,20.3,23.9,13.6,13.6,12.5
2023-06-22,Bengaluru,29.0,20.8,23.6,3.7,3.7,17.9
2023-06-23,Bengaluru,28.9,20.3,23.7,0.5,0.5,18.6
2023-06-24,Bengaluru,28.1,20.3,23.4,3.6,3.6,23.4
2023-06-25,Bengaluru,29.0,19.3,23.4,0.9,0.9,19.8
2023-06-26,Bengaluru,28.7,20.2,23.6,0.2,0.2,22.0
2023-06-27,Bengaluru,28.8,19.4,23.2,2.3,2.3,23.7
2023-06-28,Bengaluru,28.9,19.8,23.7,2.4,2.4,23.7
2023-06-29,Bengaluru,28.7,19.5,23.4,9.1,9.1,27.0
2023-06-30,Bengaluru,29.8,20.0,24.2,1.7,1.7,24.6
2023-07-01,Bengaluru,29.3,19.8,24.5,0.7,0.7,19.4
2023-07-02,Bengaluru,28.9,20.5,23.8,4.7,4.7,22.0
2023-07-03,Bengaluru,28.9,20.3,23.2,8.3,8.3,23.6
2023-07-04,Bengaluru,26.4,20.0,22.1,14.9,14.9,26.8
2023-07-05,Bengaluru,26.5,20.0,21.8,12.3,12.3,31.5
2023-07-06,Bengaluru,25.1,19.6,21.3,15.3,15.3,26.9
2023-07-07,Bengaluru,26.6,19.4,22.4,4.9,4.9,28.0
2023-07-08,Bengaluru,26.9,19.9,22.3,1.8,1.8,24.7
2023-07-09,Bengaluru,27.9,20.1,22.9,4.6,4.6,20.5
2023-07-10,Bengaluru,26.4,19.6,22.6,4.3,4.3,18.7
2023-07-11,Bengaluru,26.0,20.0,22.4,0.7,0.7,18.4
2023-07-12,Bengaluru,28.0,19.4,23.0,1.7,1.7,17.6
2023-07-13,Bengaluru,25.4,19.5,21.9,6.2,6.2,21.1
2023-07-14,Bengaluru,27.5,19.8,22.7,2.4,2.4,22.7
2023-07-15,Bengaluru,28.0,19.3,23.2,0.6,0.6,23.6
2023-07-16,Bengaluru,27.6,19.6,23.3,1.3,1.3,18.6
2023-07-17,Bengaluru,27.5,19.5,23.2,2.5,2.5,23.2
2023-07-18,Bengaluru,27.9,20.4,23.6,0.8,0.8,31.0
2023-07-19,Bengaluru,26.6,20.4,22.8,1.1,1.1,32.4
2023-07-20,Bengaluru,27.2,20.4,23.1,1.6,1.6,39.3
2023-07-21,Bengaluru,27.5,20.1,23.1,2.3,2.3,34.6
2023-07-22,Bengaluru,25.6,20.5,22.4,8.4,8.4,31.4
2023-07-23,Bengaluru,26.0,20.3,22.1,9.7,9.7,31.4
2023-07-24,Bengaluru,25.6,19.8,21.6,12.7,12.7,30.0
2023-07-25,Bengaluru,23.4,19.8,21.2,13.5,13.5,25.8
2023-07-26,Bengaluru,23.2,19.3,20.8,19.3,19.3,25.6
2023-07-27,Bengaluru,27.1,19.6,22.3,2.3,2.3,28.2
2023-07-28,Bengaluru,28.1,19.0,22.8,1.5,1.5,29.3
2023-07-29,Bengaluru,27.8,19.5,22.9,1.0,1.0,28.2
2023-07-30,Bengaluru,28.0,18.5,23.0,0.7,0.7,26.8
2023-07-31,Bengaluru,28.7,19.4,23.4,1.3,1.3,23.5
2023-08-01,Bengaluru,28.2,19.7,23.5,0.4,0.4,27.2
2023-08-02,Bengaluru,28.0,19.5,23.3,0.0,0.0,29.5
2023-08-03,Bengaluru,28.0,19.6,23.5,1.0,1.0,28.8
2023-08-04,Bengaluru,28.6,19.1,23.2,1.1,1.1,26.7
2023-08-05,Bengaluru,28.6,19.4,23.6,1.2,1.2,23.5
2023-08-06,Bengaluru,28.8,19.4,24.0,0.3,0.3,17.1
2023-08-07,Bengaluru,29.0,19.5,23.8,0.9,0.9,18.5
2023-08-08,Bengaluru,28.9,19.1,23.4,0.6,0.6,17.5
2023-08-09,Bengaluru,29.0,19.2,23.8,1.1,1.1,15.0
2023-08-10,Bengaluru,28.7,19.9,24.0,0.5,0.5,13.7
2023-08-11,Bengaluru,28.4,20.2,24.3,0.6,0.6,15.0
