date,city,temperature_max,temperature_min,temperature_mean,precipitation_sum,rain_sum,wind_speed_max
2023-06-02,Delhi,33.0,22.0,27.5,1.3,1.3,17.8
2023-06-03,Delhi,34.8,22.7,29.2,0.0,0.0,11.7
2023-06-04,Delhi,36.2,23.9,29.2,1.6,1.6,13.5
2023-06-05,Delhi,37.1,25.1,30.4,0.1,0.1,26.8
2023-06-06,Delhi,38.8,24.1,31.4,0.0,0.0,19.0
2023-06-07,Delhi,38.4,25.0,32.1,0.0,0.0,20.5
2023-06-08,Delhi,39.2,25.1,32.7,0.0,0.0,21.6
2023-06-09,Delhi,40.8,26.0,34.2,0.0,0.0,21.9
2023-06-10,Delhi,40.3,26.5,34.4,0.0,0.0,21.4
2023-06-11,Delhi,39.2,28.1,33.8,0.0,0.0,21.9
2023-06-12,Delhi,41.0,29.0,34.9,0.0,0.0,26.9
2023-06-13,Delhi,41.8,30.2,36.2,0.0,0.0,30.6
2023-06-14,Delhi,40.5,30.6,35.6,0.0,0.0,30.0
2023-06-15,Delhi,37.3,30.3,33.2,0.4,0.4,30.8
2023-06-16,Delhi,38.7,27.4,32.2,1.2,1.2,28.1
2023-06-17,Delhi,39.3,26.3,32.9,0.3,0.3,15.2
2023-06-18,Delhi,38.7,28.4,32.1,4.0,4.0,17.7
2023-06-19,Delhi,32.3,27.4,29.6,6.6,6.6,12.9
2023-06-20,Delhi,36.5,26.1,30.6,16.6,16.6,20.6
2023-06-21,Delhi,35.6,25.6,29.3,20.3,20.3,18.0
2023-06-22,Delhi,36.0,27.1,31.4,2.7,2.7,17.2
2023-06-23,Delhi,35.3,26.1,30.8,6.1,6.1,18.4
2023-06-24,Delhi,34.5,27.6,30.9,10.7,10.7,17.7
2023-06-25,Delhi,32.3,25.8,28.0,13.6,13.6,15.2
2023-06-26,Delhi,32.8,25.0,28.0,5.8,5.8,7.6
2023-06-27,Delhi,33.5,25.2,28.7,8.1,8.1,17.7
2023-06-28,Delhi,34.0,26.0,29.1,12.2,12.2,13.5
2023-06-29,Delhi,32.4,25.8,28.5,11.7,11.7,16.9
2023-06-30,Delhi,33.8,25.2,28.8,12.7,12.7,13.4
2023-07-01,Delhi,33.7,24.6,29.1,1.9,1.9,23.2
2023-07-02,Delhi,35.3,25.9,30.5,0.9,0.9,10.5
2023-07-03,Delhi,36.5,27.0,31.1,4.5,4.5,20.7
2023-07-04,Delhi,36.7,26.1,30.7,2.5,2.5,16.6
2023-07-05,Delhi,33.5,24.4,29.1,13.0,13.0,16.3
2023-07-06,Delhi,33.0,25.2,29.0,4.8,4.8,14.7
2023-07-07,Delhi,33.2,24.9,28.5,10.0,10.0,15.8
2023-07-08,Delhi,29.6,26.0,27.2,34.4,34.4,21.9
2023-07-09,Delhi,30.8,25.1,27.0,29.7,29.7,16.5
2023-07-10,Delhi,31.0,25.8,27.6,34.1,34.1,13.0
2023-07-11,Delhi,33.2,25.1,28.5,2.9,2.9,11.6
2023-07-12,Delhi,33.5,25.6,28.5,9.6,9.6,15.0
2023-07-13,Delhi,33.2,26.0,29.1,5.2,5.2,14.7
2023-07-14,Delhi,33.8,25.6,28.5,21.1,21.1,14.4
2023-07-15,Delhi,33.2,26.0,28.6,17.7,17.7,20.7
2023-07-16,Delhi,32.9,25.1,28.6,21.9,21.9,12.9
2023-07-17,Delhi,33.3,26.2,29.0,11.8,11.8,10.1
2023-07-18,Delhi,31.7,25.4,28.2,13.4,13.4,15.5
2023-07-19,Delhi,33.0,26.2,28.9,9.3,9.3,13.0
2023-07-20,Delhi,35.2,26.9,29.8,23.7,23.7,16.8
2023-07-21,Delhi,35.5,26.5,30.9,4.2,4.2,15.5
2023-07-22,Delhi,34.3,27.2,30.7,6.0,6.0,19.9
2023-07-23,Delhi,34.2,28.2,30.9,0.6,0.6,21.9
2023-07-24,Delhi,34.0,27.4,29.9,7.8,7.8,15.5
2023-07-25,Delhi,34.1,25.5,29.3,11.8,11.8,14.9
2023-07-26,Delhi,29.6,25.5,27.0,18.3,18.3,14.3
2023-07-27,Delhi,31.7,26.3,28.5,11.0,11.0,8.9
2023-07-28,Delhi,32.8,26.3,28.2,27.0,27.0,10.2
2023-07-29,Delhi,31.4,24.6,27.8,11.2,11.2,13.5
2023-07-30,Delhi,33.1,25.0,29.0,2.3,2.3,14.0
2023-07-31,Delhi,33.6,25.1,29.6,0.8,0.8,18.6
2023-08-01,Delhi,34.6,26.9,30.3,0.2,0.2,18.7
2023-08-02,Delhi,35.0,27.2,30.2,1.4,1.4,17.8
2023-08-03,Delhi,34.0,26.5,29.4,9.6,9.6,18.0
2023-08-04,Delhi,31.7,26.0,28.4,11.5,11.5,9.4
2023-08-05,Delhi,33.7,26.3,29.4,4.8,4.8,12.9
2023-08-06,Delhi,34.8,26.0,30.0,1.9,1.9,19.8
2023-08-07,Delhi,34.2,27.1,30.0,0.1,0.1,22.0
2023-08-08,Delhi,34.3,26.9,30.3,0.0,0.0,24.5
2023-08-09,Delhi,34.5,27.4,30.7,0.0,0.0,20.2
2023-08-10,Delhi,34.0,27.2,29.9,1.7,1.7,17.5
2023-08-11,Delhi,34.5,27.2,30.6,1.6,1.6,15.7
2023-08-12,Delhi,35.3,28.1,31.3,0.0,0.0,20.7
2023-08-13,Delhi,35.5,27.6,31.0,0.7,0.7,18.8
2023-08-14,Delhi,33.5,26.8,29.7,0.0,0.0,13.2
2023-08-15,Delhi,34.7,25.8,29.8,0.1,0.1,9.7
2023-08-16,Delhi,36.0,25.6,30.9,0.1,0.1,16.8
2023-08-17,Delhi,36.0,27.8,31.8,0.0,0.0,20.3
2023-08-18,Delhi,36.1,28.3,31.7,0.1,0.1,15.1
2023-08-19,Delhi,34.1,26.1,30.3,7.4,7.4,19.1
2023-08-20,Delhi,35.8,27.8,31.8,0.1,0.1,18.0
2023-08-21,Delhi,36.2,28.0,32.0,0.8,0.8,14.7
2023-08-22,Delhi,35.3,27.4,30.4,12.6,12.6,18.0
2023-08-23,Delhi,29.9,25.6,27.7,15.5,15.5,20.9
2023-08-24,Delhi,33.2,24.8,29.0,0.0,0.0,17.0
2023-08-25,Delhi,33.9,25.6,30.0,0.0,0.0,16.7
2023-08-26,Delhi,34.3,27.3,30.4,0.0,0.0,18.9
2023-08-27,Delhi,34.8,27.0,30.4,0.1,0.1,23.2
2023-08-28,Delhi,34.8,26.2,29.4,2.2,2.2,22.5
2023-08-29,Delhi,35.0,25.8,30.4,0.0,0.0,19.3
2023-08-30,Delhi,36.3,26.6,30.9,0.0,0.0,15.5
2023-08-31,Delhi,36.4,25.6,31.1,0.0,0.0,14.4
2023-09-01,Delhi,37.3,26.6,31.9,0.0,0.0,19.3
2023-09-02,Delhi,37.2,27.2,31.8,0.0,0.0,23.4
2023-09-03,Delhi,36.7,26.3,31.3,0.0,0.0,22.0
2023-09-04,Delhi,37.3,25.6,31.3,0.0,0.0,18.6
2023-09-05,Delhi,36.2,26.5,30.7,6.1,6.1,12.5
2023-09-06,Delhi,36.2,24.3,30.9,1.7,1.7,21.4
2023-09-07,Delhi,38.3,27.0,31.9,0.0,0.0,9.6
2023-09-08,Delhi,36.5,25.5,30.3,1.3,1.3,20.3
2023-09-09,Delhi,32.3,25.4,27.8,2.5,2.5,25.4
2023-09-10,Delhi,30.0,24.1,26.1,35.3,35.3,17.6
2023-09-11,Delhi,32.1,23.9,27.5,1.0,1.0,19.8
2023-09-12,Delhi,33.3,24.4,28.7,0.0,0.0,9.6
2023-09-13,Delhi,33.7,26.4,29.7,7.4,7.4,16.3
2023-09-14,Delhi,34.1,26.6,29.2,5.5,5.5,15.3
2023-09-15,Delhi,32.0,25.5,28.1,5.7,5.7,14.6
2023-09-16,Delhi,31.5,26.4,28.3,7.8,7.8,23.9
2023-09-17,Delhi,31.6,25.1,27.1,6.5,6.5,22.5
2023-09-18,Delhi,31.6,24.6,27.9,2.1,2.1,23.1
2023-09-19,Delhi,33.0,24.6,28.6,0.2,0.2,11.5
2023-09-20,Delhi,33.0,25.5,29.4,0.9,0.9,9.2
2023-09-21,Delhi,33.5,26.0,28.9,2.6,2.6,22.0
2023-09-22,Delhi,33.2,25.2,29.4,0.3,0.3,10.5
2023-09-23,Delhi,32.8,25.6,28.6,1.4,1.4,13.7
2023-09-24,Delhi,32.8,25.3,27.9,0.9,0.9,14.8
2023-09-25,Delhi,32.9,24.5,28.6,0.2,0.2,9.4
2023-09-26,Delhi,32.9,24.9,28.8,0.2,0.2,9.4
2023-09-27,Delhi,33.3,23.3,27.8,0.0,0.0,14.0
2023-09-28,Delhi,33.0,20.5,26.6,0.0,0.0,12.9
2023-09-29,Delhi,33.2,20.4,26.8,0.0,0.0,9.7
2023-09-30,Delhi,34.8,22.8,27.9,0.0,0.0,17.6
2023-10-01,Delhi,34.5,21.3,27.4,0.0,0.0,19.5
2023-10-02,Delhi,33.8,20.1,26.7,0.0,0.0,19.9
2023-10-03,Delhi,33.8,20.0,26.4,0.0,0.0,23.4
2023-10-04,Delhi,33.8,18.9,26.3,0.0,0.0,21.1
2023-10-05,Delhi,34.2,19.9,26.4,0.0,0.0,16.4
