date,city,temperature_max,temperature_min,temperature_mean,precipitation_sum,rain_sum,wind_speed_max
2023-06-02,Hyderabad,38.2,26.2,31.5,0.0,0.0,20.2
2023-06-03,Hyderabad,37.5,26.0,31.4,0.0,0.0,16.1
2023-06-04,Hyderabad,34.7,24.2,28.1,6.3,6.3,23.4
2023-06-05,Hyderabad,35.0,23.8,29.3,0.0,0.0,18.8
2023-06-06,Hyderabad,35.0,25.8,29.6,1.9,1.9,26.7
2023-06-07,Hyderabad,37.0,27.1,31.2,0.1,0.1,19.6
2023-06-08,Hyderabad,36.6,27.6,31.2,0.0,0.0,24.1
2023-06-09,Hyderabad,37.1,26.9,31.1,0.0,0.0,21.2
2023-06-10,Hyderabad,36.8,27.0,31.0,0.3,0.3,22.3
2023-06-11,Hyderabad,35.0,27.0,30.3,0.0,0.0,20.1
2023-06-12,Hyderabad,36.1,26.9,30.6,0.0,0.0,21.1
2023-06-13,Hyderabad,36.8,26.9,31.1,0.0,0.0,22.0
2023-06-14,Hyderabad,36.6,26.9,31.2,0.0,0.0,23.4
2023-06-15,Hyderabad,36.3,26.9,31.1,0.0,0.0,21.8
2023-06-16,Hyderabad,36.8,27.1,31.5,0.0,0.0,19.7
2023-06-17,Hyderabad,36.7,27.3,31.4,0.0,0.0,24.6
2023-06-18,Hyderabad,36.5,28.0,31.6,0.0,0.0,21.9
2023-06-19,Hyderabad,36.3,27.9,31.4,0.1,0.1,19.6
2023-06-20,Hyderabad,36.2,27.2,31.0,0.4,0.4,18.8
2023-06-21,Hyderabad,35.3,24.4,29.5,9.3,9.3,21.7
2023-06-22,Hyderabad,34.3,24.4,27.7,4.7,4.7,18.4
2023-06-23,Hyderabad,33.2,24.4,27.1,11.2,11.2,19.8
2023-06-24,Hyderabad,29.3,23.5,25.8,16.5,16.5,20.2
2023-06-25,Hyderabad,31.6,23.4,26.5,3.9,3.9,22.8
2023-06-26,Hyderabad,30.5,24.0,25.7,3.1,3.1,23.8
2023-06-27,Hyderabad,31.9,24.1,27.0,1.0,1.0,25.3
2023-06-28,Hyderabad,31.5,23.6,27.0,1.6,1.6,21.7
2023-06-29,Hyderabad,32.1,23.9,27.6,0.1,0.1,24.5
2023-06-30,Hyderabad,32.3,23.8,27.7,0.3,0.3,28.1
2023-07-01,Hyderabad,33.1,24.5,28.5,0.3,0.3,23.4
2023-07-02,Hyderabad,33.0,24.1,28.2,0.8,0.8,22.4
2023-07-03,Hyderabad,32.7,23.7,27.7,1.9,1.9,23.4
2023-07-04,Hyderabad,32.7,25.0,28.3,0.2,0.2,20.6
2023-07-05,Hyderabad,30.2,23.6,26.6,3.3,3.3,19.5
2023-07-06,Hyderabad,28.0,23.5,24.9,10.9,10.9,22.4
2023-07-07,Hyderabad,29.8,22.9,26.3,2.9,2.9,27.1
2023-07-08,Hyderabad,31.0,23.8,26.3,0.8,0.8,24.1
2023-07-09,Hyderabad,31.2,23.6,26.8,1.2,1.2,20.9
2023-07-10,Hyderabad,30.4,24.7,27.0,0.1,0.1,21.3
2023-07-11,Hyderabad,29.1,24.4,26.2,0.0,0.0,21.1
2023-07-12,Hyderabad,30.7,23.7,26.5,1.8,1.8,19.2
2023-07-13,Hyderabad,31.5,23.2,27.0,0.7,0.7,17.1
2023-07-14,Hyderabad,31.4,23.1,26.7,1.4,1.4,16.9
